world_file,category,difficulty,obstacles,a_mem,a_time,a_turns,d_mem,d_time,d_turns,rrt_mem,rrt_time,rrt_turns,spawn_x,spawn_y,spawn_z,goal_x,goal_y,wall_count
map_12356_Corridors_moderate.sdf,Corridors,Moderate,2042,279,3094.6974,13,459,4756.8046,15,405,16956.3985,36.6,-11.5,11.0,0.1,11.5,-12.0,2042
map_11672_Corridors_moderate.sdf,Corridors,Moderate,2157,289,3192.4305,18,345,3631.9947,17,318,17191.9638,35.6,-11.5,11.0,0.1,11.5,-12.0,2157
map_11779_Corridors_moderate.sdf,Corridors,Moderate,2021,289,3196.3816,19,488,5115.1413,17,440,18636.6864,42.1,-11.5,11.0,0.1,11.5,-12.0,2021
map_10764_Corridors_moderate.sdf,Corridors,Moderate,2130,292,3213.8603,15,376,3944.5405,15,332,17408.3725,33.4,-11.5,11.0,0.1,11.5,-12.0,2130
map_11515_Corridors_moderate.sdf,Corridors,Moderate,2176,286,3151.9978,15,327,3463.7961,14,305,15031.4868,32.8,-11.5,11.0,0.1,11.5,-12.0,2176
map_10726_Corridors_moderate.sdf,Corridors,Moderate,2100,294,3267.0857,21,398,4216.5555,19,396,22926.4184,39.6,-11.5,11.0,0.1,11.5,-12.0,2100
map_12885_Corridors_easy.sdf,Corridors,Easy,1932,95,1128.9476,14,417,4318.9065,14,416,12347.6685,39.1,-11.5,11.0,0.1,11.5,-12.0,1932
map_10777_Corridors_easy.sdf,Corridors,Easy,2157,89,1070.8042,11,294,3136.1048,13,316,14644.2749,31.9,-11.5,11.0,0.1,11.5,-12.0,2157
map_12818_Corridors_easy.sdf,Corridors,Easy,1975,89,1078.6252,13,517,5319.7964,14,375,11161.1363,38.2,-11.5,11.0,0.1,11.5,-12.0,1975
map_17663_Mazes_hard.sdf,Mazes,Hard,1274,1184,12246.5165,47,1215,12453.0346,46,206,107766.8254,22.0,-7.5,11.0,0.1,11.5,-12.0,1274
map_16734_Mazes_hard.sdf,Mazes,Hard,1246,1180,12223.8294,45,1248,12780.3784,44,1284,82196.7473,76.8,-7.0,9.0,0.1,11.5,-12.0,1246
map_17503_Mazes_hard.sdf,Mazes,Hard,1270,1179,12188.7219,44,1217,12491.3573,44,1024,88474.4068,57.2,-6.5,9.0,0.1,11.5,-12.0,1270
map_18505_Mazes_hard.sdf,Mazes,Hard,1299,1171,12134.3526,54,1177,12159.5636,53,0,188077.9333,90.1,-6.0,11.0,0.1,11.5,-12.0,1299
map_18914_Mazes_hard.sdf,Mazes,Hard,1311,1160,12064.0879,57,1170,12142.793,58,0,193946.4109,90.1,-7.0,11.0,0.1,11.5,-12.0,1311
map_18228_Mazes_hard.sdf,Mazes,Hard,1290,1166,12084.1814,50,1194,12263.0815,49,54,138570.333,8.4,-7.5,10.0,0.1,11.5,-12.0,1290
map_18347_Mazes_hard.sdf,Mazes,Hard,1293,1162,12081.4119,60,1198,12399.065,60,0,185813.9775,90.1,0.0,8.0,0.1,11.5,-12.0,1293
map_18596_Mazes_hard.sdf,Mazes,Hard,1300,1165,12147.2568,65,1182,12302.4413,65,0,203876.1462,90.1,-6.5,5.5,0.1,11.5,-12.0,1300
map_18814_Mazes_hard.sdf,Mazes,Hard,1308,1159,12030.0837,53,1163,11987.5793,54,0,182787.8359,0.6,-6.5,6.5,0.1,11.5,-12.0,1308
map_18332_Mazes_hard.sdf,Mazes,Hard,1293,1164,12069.3681,54,1205,12401.3579,53,0,179898.3329,90.1,-10.5,10.5,0.1,11.5,-12.0,1293
map_18553_Mazes_hard.sdf,Mazes,Hard,1300,1159,12094.4071,63,1172,12203.8404,64,0,189550.9667,90.1,-4.5,7.0,0.1,11.5,-12.0,1300
map_16588_Mazes_hard.sdf,Mazes,Hard,1242,1162,12033.0951,39,1252,12770.197,39,1180,68950.0563,61.8,-10.0,9.5,0.1,11.5,-12.0,1242
map_16668_Mazes_hard.sdf,Mazes,Hard,1245,1152,11931.4444,44,1250,12799.734,45,1063,90859.7254,62.8,-11.5,10.5,0.1,11.5,-12.0,1245
map_16783_Mazes_hard.sdf,Mazes,Hard,1248,1147,11894.5008,39,1236,12632.3029,41,1257,78094.5932,63.6,-11.5,9.5,0.1,11.5,-12.0,1248
map_19217_Mazes_hard.sdf,Mazes,Hard,1320,1154,12212.4739,91,1088,11379.3921,88,0,201828.3138,90.1,-6.5,3.5,0.1,11.5,-12.0,1320
map_17508_Mazes_hard.sdf,Mazes,Hard,1270,1156,11969.4904,46,1203,12341.3733,48,443,104759.6341,32.0,-11.5,10.5,0.1,11.5,-12.0,1270
map_15497_Mazes_moderate.sdf,Mazes,Moderate,1210,619,6491.337,33,1287,13088.9358,32,1032,37034.7244,53.6,-11.0,11.0,0.1,11.5,-12.0,1210
map_16884_Mazes_moderate.sdf,Mazes,Moderate,1251,591,6213.3402,36,1239,12638.421,36,1293,62613.2681,58.7,-11.5,-1.5,0.1,11.5,-12.0,1251
map_16603_Mazes_moderate.sdf,Mazes,Moderate,1243,667,7033.9118,40,1243,12696.6509,41,1135,78216.3969,60.7,-11.5,10.5,0.1,11.5,-12.0,1243
map_16048_Mazes_moderate.sdf,Mazes,Moderate,1226,589,6187.0933,35,1270,12948.5252,34,1204,50599.6247,56.8,-11.0,10.0,0.1,11.5,-12.0,1226
map_18313_Mazes_moderate.sdf,Mazes,Moderate,1293,616,6443.733,34,1146,11665.7739,35,1180,66387.0982,57.8,-9.0,1.0,0.1,11.5,-12.0,1293
map_15293_Mazes_moderate.sdf,Mazes,Moderate,1204,579,6095.2891,34,1288,13104.6612,34,1143,43834.2196,56.1,-8.5,10.5,0.1,11.5,-12.0,1204
map_15168_Mazes_easy.sdf,Mazes,Easy,1201,163,1837.43,30,1293,13104.6605,31,981,30617.7207,52.6,-6.5,6.0,0.1,11.5,-12.0,1201
map_19815_Mazes_easy.sdf,Mazes,Easy,1336,144,1676.3376,38,359,3360.2538,40,139,101243.432,29.7,-7.5,11.0,0.1,11.5,-12.0,1336
map_16271_Mazes_easy.sdf,Mazes,Easy,1233,131,1505.3838,29,1256,12758.1162,31,1026,39362.6878,53.0,-11.5,7.0,0.1,11.5,-12.0,1233
